state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Kerala,Kozhikode(Calicut),Kallachi,Brinjal,Brinjal,FAQ,2025-07-26,2800,3200,3000
Haryana,Jind,Narwana,Cucumbar(Kheera),Cucumbar,FAQ,2025-07-26,3000,3000,3000
Kerala,Kozhikode(Calicut),Palayam,Brinjal,Other,FAQ,2025-07-26,2200,2200,2200
Kerala,Thirssur,Thrissur,Coconut Seed,Other,FAQ,2025-07-26,7800,7800,7800
Gujarat,Gir Somnath,Talalagir,Guar,Other,FAQ,2025-07-26,8000,11000,9000
Kerala,Thiruvananthapuram,Neyyatinkara,Cluster beans,Other,FAQ,2025-07-26,5000,12000,7000
Kerala,Alappuzha,Harippad,Banana - Green,Other,FAQ,2025-07-26,5000,5500,5000
Kerala,Kasargod,Kasargod,Cashewnuts,Other,FAQ,2025-07-26,12000,12200,12100
Kerala,Kozhikode(Calicut),Perambra,Amphophalus,Amphophalus,FAQ,2025-07-26,6500,6800,6500
Gujarat,Chhota Udaipur,Bodeliu,Cotton,Shanker 6 (B) 30mm FIne,FAQ,2025-07-26,6865,6950,6905
Kerala,Alappuzha,EDATHWA VFPCK,Tapioca,Other,FAQ,2025-07-26,2500,3200,3000
Kerala,Alappuzha,Harippad,Amphophalus,Other,FAQ,2025-07-26,5000,5500,5000
Kerala,Wayanad,Pulpally,Banana,Other,Medium,2025-07-26,2500,2700,2600
Kerala,Kozhikode(Calicut),Kallachi,Ashgourd,Ashgourd,FAQ,2025-07-26,2400,2800,2600
Uttrakhand,Haridwar,Manglaur,Cucumbar(Kheera),Other,FAQ,2025-07-26,1000,1200,1100
Kerala,Ernakulam,Mazhuvannur VFPCK,Pineapple,Pine Apple,Large,2025-07-26,1300,3800,2300
Kerala,Kozhikode(Calicut),Palayam,Raddish,Other,FAQ,2025-07-26,2500,2500,2500
Kerala,Kasargod,Kasargod,Cowpea(Veg),Other,FAQ,2025-07-26,4000,4200,4100
Kerala,Alappuzha,Mannar,Banana - Green,Other,FAQ,2025-07-26,5000,5200,5100
Kerala,Kottayam,Pampady,Tomato,Other,FAQ,2025-07-26,3200,4500,4000
Kerala,Kozhikode(Calicut),Mukkom,Ashgourd,Other,FAQ,2025-07-26,2000,2300,2100
Kerala,Kozhikode(Calicut),Palayam,Cucumbar(Kheera),Other,FAQ,2025-07-26,3200,3200,3200
Kerala,Thiruvananthapuram,Parassala,Carrot,Carrot,FAQ,2025-07-26,4000,4500,4000
Gujarat,Mehsana,Kadi,Mustard,Mustard,FAQ,2025-07-26,6525,6525,6525
Gujarat,Gir Somnath,Talalagir,Brinjal,Other,FAQ,2025-07-26,3000,5000,4000
Kerala,Kozhikode(Calicut),Mukkom,Green Chilli,Green Chilly,FAQ,2025-07-26,7600,8000,7800
Haryana,Jind,Narwana,Brinjal,Brinjal,FAQ,2025-07-26,2000,2000,2000
Kerala,Kasargod,Kasargod,Arecanut(Betelnut/Supari),Other,FAQ,2025-07-26,46000,47000,46500
Kerala,Kozhikode(Calicut),Kallachi,Drumstick,Drumstick,FAQ,2025-07-26,3300,3700,3500
Kerala,Alappuzha,Mannar,Ashgourd,Other,FAQ,2025-07-26,1500,1700,1600
Kerala,Thiruvananthapuram,Parassala,Pumpkin,Pumpkin,FAQ,2025-07-26,4000,4500,4000
Kerala,Alappuzha,Harippad,Cauliflower,Other,FAQ,2025-07-26,4000,4500,4000
Kerala,Kozhikode(Calicut),Mukkom,Amphophalus,Amphophalus,FAQ,2025-07-26,5600,6000,5800
Kerala,Kasargod,Kasargod,Amaranthus,Other,FAQ,2025-07-26,3000,3200,3100
Kerala,Kottayam,Pampady,Cucumbar(Kheera),Other,FAQ,2025-07-26,3500,5000,4500
Gujarat,Jamnagar,Kalawad,Corriander seed,Other,FAQ,2025-07-26,6000,7175,6575
Kerala,Ernakulam,Thrippunithura,Beetroot,Beetroot,FAQ,2025-07-26,5800,7000,6000
Kerala,Thirssur,Thrissur,Bitter gourd,Bitter Gourd,FAQ,2025-07-26,4500,4500,4500
Kerala,Alappuzha,Harippad,Colacasia,Other,FAQ,2025-07-26,8000,8600,8000
Kerala,Kozhikode(Calicut),Palayam,Ginger(Green),Other,FAQ,2025-07-26,4500,5000,4500
Kerala,Kozhikode(Calicut),Perambra,Onion,Other,FAQ,2025-07-26,2000,2400,2300
Gujarat,Jamnagar,Dhrol,Groundnut,Other,FAQ,2025-07-26,4375,5800,5090
Kerala,Kozhikode(Calicut),Palayam,Cowpea(Veg),Other,FAQ,2025-07-26,5200,5200,5200
Kerala,Thirssur,Thrissur,Potato,Potato,FAQ,2025-07-26,3500,3500,3500
Haryana,Jind,Narwana,Onion,Other,FAQ,2025-07-26,1500,1500,1500
Kerala,Kozhikode(Calicut),Kallachi,Cluster beans,Cluster Beans,FAQ,2025-07-26,4800,5200,5000
Kerala,Alappuzha,Chengannur,Tomato,Tomato,FAQ,2025-07-26,4800,5300,5000
Kerala,Ernakulam,Thrippunithura,Tomato,Tomato,FAQ,2025-07-26,5200,5800,5400
Kerala,Alappuzha,Chengannur,Bitter gourd,Other,FAQ,2025-07-26,4800,5100,5000
Gujarat,Amreli,Bagasara,Corriander seed,"A-1, Green",FAQ,2025-07-26,6000,6500,6250
Kerala,Kozhikode(Calicut),Kallachi,Bottle gourd,Bottle Gourd,FAQ,2025-07-26,3400,3800,3600
Kerala,Wayanad,Pulpally,Cucumbar(Kheera),Other,FAQ,2025-07-26,1400,1600,1500
